Project,Description,Outcome EN,Output EN,Sector,Beneficiary,Donor,Beneficiary Type,Regional Group,Start Date,End Date,Coordinates
Strengthening the local capacity of the Technical College to deliver the Renewable Energy Program and to deliver adequate training of building and operating the system.,.,"Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particularly in Africa, developing countries, LDCs, and SIDS",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Saint Vincent and the Grenadines,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"13.25, -61.2"
FMTS-Formation à l’hydrologie de 3 techniciens tchadiens en vue de la réalisation de 2 projets d’accès à l’eau pour tous,"Former au Centre 2IE de Ouagadougou X Techniciens Hydrologues pour conduire X projets locaux d’accès à l’eau, à savoir :
•	Le projet SOLIDEV consiste en la réalisation de forages dans le département d’Assoungha, à proximité de la frontière du Soudan
•	Le projet CAPROSEC consiste en la formation d’un technicien supérieur géographe en vue d’assurer à son tour  la formation intégrée de 20 jeunes producteurs en zone pétrolière aux techniques d’irrigation pour la promotion de la culture de contresaison au bord de la rivière Nya (Riz, maraichage, pépinière, etc.).","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,,,,,2024-01-01,2025-12-31,
HOPE’87- Children of the World: psychological support and leisure for refugee children from Ukraine and children from low-income families,"The aim of the project is to provide refugee children from Ukraine and from low-income families with high-quality psychological support and to create structured leisure activities to mitigate traumatic experiences, enhance adaptation, and develop positive skills.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,,,,,2024-01-01,2025-12-31,
OUI-Integración de la metodología COIL en el marco del Espacio de Movilidad Virtual en Educación Superior (eMOVIES),"El objetivo del proyecto es apoyar el desarrollo de estrategias de internacionalización del currículo en las instituciones de educación superior (IES) de Latinoamérica mediante el fortalecimiento de habilidades y competencias para la implementación de la metodología COIL (Collaborative Online International Learning) en cursos y asignaturas en modalidad virtual. Para su ejecución, se aprovecha la creciente red de IES que viene realizando iniciativas de movilidad virtual estudiantil a través de la plataforma del Espacio de Movilidad Virtual en Educación Superior (eMOVIES), puesto en marcha por la OUI en 2020, lo cual contribuirá a la escalabilidad del proyecto a nivel regional.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,,,,,2024-01-01,2025-12-31,
Pax Christi- Women and Water Governance for Peace Building in Colombia,"Strengthen the knowledge of women human rights and environmental defenders in Colombia on community water governance for fostering Peace with social and environmental justice.
1.Train 30 women leaders from diverse regions on water governance for fair and democratic transitions, contributing to Peace with social and environmental justice.
2.Train 100 women leaders from various demographic, ethnic, age, political, cultural, and social groups on community water governance in land use planning, using tools for active citizenship and peacebuilding.
3. Showcase the initiatives of 10 women leading community water governance, land defense, and territory building for Peace.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,,,,,2024-01-01,2025-12-31,
UNIMA- Roots & Wings Rencontres internationales sur la marionnette en Afrique – formation et création,"Roots &amp; Wings est un projet international en trois temps successifs touchant aux questions de formation, de création et de développement des arts de la marionnette sur le continent africain. Il est porté conjointement par 4 pays, servant de catalyseurs sur leur zone à 19 pays du continent bénéficiaires du projet. Il se prépare et associe des pédagogues de différentes zones du monde et est coordonné par l’UNIMA – Union International de la Marionnette.
Il a pour objectifs principaux de travailler à l’assise de pôles de formation pour les artistes et au développement des arts de la marionnette sur le continent. Il souhaite également permettre aux leaders du continent de s’accorder sur un plan commun stratégique à longue échéance pour le développement des arts de la marionnette en Afrique.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,,,,,2024-01-01,2025-12-31,
"UMEC- Formation des techniciennes de la RD Congo en vue de la réalisation de projets d’accès à l’eau pour tous, assainissement.","La République Démocratique du Congo (R.D.C), est un pays d’Afrique centrale, vaste de 2.345.409 Km 2, sa capitale est Kinshasa. Un pays qui est constitué de 26 provinces. La RD Congo est connue comme pays riche par son sous-sol avec les minerais et aussi par les lacs et rivières. Malgré cette richesse, la population rencontre des difficultés pour avoir accès à l’eau potable. Dans le pays il y a le service pour régir l’eau mais cela ne suffit pas. Ainsi avec ce projet de la formation au Centre 2 IE, ces ONGs locales (Adepesidi, RPVO, Eden Vision) s’engagent à former les techniciennes et qui auront la mission de former les autres jeunes à leur retour sur l’assainissement, sur le comment prendre soin de l’eau.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,,,,,2024-01-01,2025-12-31,
"ICTs as tools to prevent youth violence in Guatemala, El Salvador, and","This project is the second phase of the project funded by AECID (17-18) aiming to continue strengthening youth digital capacities and their participation in the prevention of violence in El Salvador, Honduras and Guatemala, and keep supporting policies to incorporate and efficiently use Information and Communication Technologies (ICTs), as tools to prevent violence in their countries.
It is the starting point of a regional strategy of UNESCO in LAC to promote citizen participation of young people, prevent violence and improve capacities for the use of ICT. The project will implement the outputs of the previous project.","Outcome 7 - Promote inclusion and combat discrimination, hate speech and stereotypes","7.SHS4 - Member States capacities strengthened to devise and prioritize effective youth policies and interventions and to scale up youth-led solutions at global, regional, national and local levels",SOCIAL AND HUMAN SCIENCES,,,,,2020-09-06,2024-01-01,
EU/UNESCO Expert Facility on the Governance of Culture in Developing C,"Building upon the EU-funded project implemented between 2010-2015, the project provides, through EU/UNESCO Expert Facility, on-demand provision of expertise including support for designing policies and implementation plans. It will build on local expertise and reinforce human and institutional capacities in order to achieve ownership, sustainability of results and policy change in developing countries through targeted mentoring, capacity-building and advocacy work. It will also facilitate peer-to-peer learning, among government officials and experts, with a focus on South-South cooperation, to share experiences and transfer knowledge on governance of culture.",Outcome 5 - Enhance the protection and promotion of the diversity of heritage and cultural expressions,5.CLT5 - Member States and civil society capacities strengthened to protect and promote the diversity of cultural expressions through dynamic and inclusive cultural and creative industries,CULTURE,,,,,2024-01-01,2025-12-31,
GRRIP,"GRRIP is an European Funded project ( Horizon 2020) of 4 years aiming at embeding sustainable RRI practices in four European research public organisations and one funding body through Action Plans (AP) for institutional and cultural change. This will be accompanied by establishing a platform for engagement with the Quadruple Helix and a platform for mutual learning . UNESCO will be leading WP 3 reviewing the Status of the Art of RRI and creating a Library of actions on existing practices for public research and funding bodies to promote RRI keys: society engagement, science education, women in science, ethics and open acces.","Outcome 7 - Promote inclusion and combat discrimination, hate speech and stereotypes",7.SHS2 - Member States capacities strengthened in applying social and human scientific frontier knowledge to devise effective policy solutions to advance an inclusive development agenda addressing the legacies of the pandemic crisis and face the social i,SOCIAL AND HUMAN SCIENCES,,,,,2019-01-01,2024-01-01,
Lifelines to Learning: Towards an International Declaration on Advanci,"Since the start of the COVID-19 pandemic, the right to education has become-at the global level-dependent on connectivity, especially internet access. The pandemic forced policy makers, teachers, parents and learners to attempt actions to leverage connectivity for learning at a speed and scale without precedent. The pandemic has revealed the need to rethink connectivity for learning in a transformed global educational landscape. This initiative will facilitate the production and endorsement of an International Declaration on Connectivity for Education, and will involve research and consultation.","Outcome 2 - Strengthen international coordination for the achievement of SDG 4 and develop the global education agenda based on research, foresight and innovation","2.ED9 - Education and learning reimagined through interdisciplinary research, foresight and public policy debate",EDUCATION,,,,,2021-01-26,2024-01-01,
Promoting ICT Capacity Building and Open Education in the Era of Artificial Intelligence,"The project is aimed to support opening up of education to a wide audience of potential students and to develop teacher capacities in using digital technologies and content within formal education and lifelong learning. The project will contribute to UNESCO activities towards achieving the Education 2030 agenda and SDG4 for education through promoting ICT capacity building and Open Education in the era of artificial intelligence and digital technologies to strengthen quality in education and lifelong learning, including digital citizenship education.",Outcome 8 - Foster knowledge sharing and skills development in the digital age,"8.ED8 - Technologies and digital innovations leveraged to ensure more inclusive, effective and relevant learning",EDUCATION,Global,China,Global,,2020-10-21,2026-12-31,
Education Sector Plans for the Eastern Caribbean Member States of Domi,"The Eastern Caribbean Member States of Dominica, Grenada, St. Lucia, and St Vincent and the Grenadines will utilize the first Global Partnership for Education (GPE) Systems Capacity Grant (SCG) on the development/revision of individual national Education Sector Plans (ESP), and associated activities. The objective is to guide and support the preparation of an ESP for each of the four member countries. UNESCO will collaborate with the lead and regional consultants to support the national teams to effectively design, coordinate, implement, and assure the quality of the program of activities related to the preparation of robust and relevant Education Sector Plans in the four selected countries.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED6 - Resilience, quality and equity of education systems strengthened to flexibly respond to evolving learning environments and to better deliver on SDG4 commitments",EDUCATION,,,,,2022-11-03,2024-01-01,
Participation Programme Project - Building Digital Citizens Capacity through high quality ICT Education,,"Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particularly in Africa, developing countries, LDCs, and SIDS",PARTICIPATION PROGRAMME,,,,,2022-01-01,2024-03-31,
Capacity Building of Women on Community-Based Inventorying of Female Traditional Dances of the Northern Region of Malawi,"The project is aimed at safeguarding female traditional dances in five (5) districts of the northern region namely: Chitipa, Karonga, Rumphi, Mzimba and Nkhatabay districts through inventorying. First 30 female teachers and community-based female youth, six from each district, will be trained on community-based inventorying of ICH, followed by the actual Community-based inventorying of the traditional dances both of which will be recorded on audiovisual media.  Each trained team of six will conduct community-based inventorying of dances in their respective district. Project outputs will consist of the 30 trained women, an inventory of the traditional dances and audiovisual recordings.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Malawi,,Country,Africa,2024-01-01,2025-12-31,"-13.5, 34.0"
Atelier national en vue de l’élaboration d’un programme de mise en œuvre de l’EPPE au Cameroun,"Le Décret N° 2015/007 du 12 janvier 2015 portant réorganisation et fonctionnement de la Commission Nationale du Cameroun pour l’UNESCO dispose que cette institution
« collabore avec les administrations et les organismes partenaires à l’élaboration et à l’exécution des programmes de l’UNESCO ». Cette disposition juridique et réglementaire justifie l’engagement de la Commission pour l’élaboration d’un Programme national de mise en œuvre de l’EPPE au Cameroun. Cette initiative vise la mise en coalition et l’unicité d’action de toutes les institutions publiques, organisations de la société civile et partenaires au développement, intervenant au Cameroun dans les domaines dévolus à l’EPPE.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Cameroon,,Country,Africa,2024-01-01,2025-12-31,"6.0, 12.0"
Girls for STEM and Leadership,"This project therefore aims to host a fun interactive session for high school girls in the Shiselweni and Lubombo regions. Girls from these areas have limited role models, especially for STEM courses. This is meant to encourage them to do STEM subjects already to continue as well as bring information about career options in these fields. Fun-filled science days with planned team-building activities for the young girls as well as science activities such as coding and/or robotics activities. The plan is also to have exhibiting STEM-based companies to showcase career opportunities in STEM.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Eswatini,,Country,Africa,2024-01-01,2025-12-31,"-26.5, 31.5"
PROJET D’APPUI  A L’AUTONOMISATION DES PERSONNES HANDICAPEES AU BENIN,"Il s’agit d’une formation pour sortir les personnes handicapées de la précarité et de la mendicité. Ils auront droit à une formation sur la fabrication de certains savons parfumés, ainsi que sur les techniques de transformation de purée de tomate. Le tout  sera clôturé par la formation sur l’entreprenariat. Le lancement officiel des formations connaîtra une conférence publique sur : « BENIN - STOP A LA MARGINALISATION DES PERSONNES HANDICAPEES ».","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Benin,,Country,Africa,2024-01-01,2025-12-31,"9.5, 2.25"
Youth Training Workshop on Biodiversity and Adaptation to Climate Change towards Sustainable Development in Associated Schools of Mozambique,"Focus of the workshop
The workshop aimed to provide an overview of the relationships between biodiversity and climate change including:
(a)  The feedbacks of plausible changes in biodiversity on climate characteristics and change;
(b)  Building on scientific as well as indigenous and local knowledge, the workshop then focused onopportunities to meet both climate change and biodiversity related objectives, and on the risks of considering these two issues separately, including:
(c)  The opportunities, challenges and risks of climate change mitigation and adaptation options (e.g., bioenergy and carbon capture and storage and large-scale afforestation, reforestation and ecosystem restoration) for biodiversity, nature’s contributions to people, and the quality of life;
(d)  The impact of biodiversity conservation and sustainable- use practices on greenhouse gas emissions (i.e., climate feedbacks);
(e)   An evaluation of the synergies, trade-offs and effectiveness of policies and governance structures that simultaneously address climate change and biodiversity loss at all scales, including in urban areas;","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Mozambique,,Country,Africa,2024-01-01,2025-12-31,"-18.25, 35.0"
Formation et accompagnement des Encadreurs des clubs UNESCO existants dans les écoles du Burundi sur les valeurs de l’UNESCO et la règlementation des clubs UNESCO,"En vue d’éduquer la jeunesse  burundaise aux valeurs de la paix de l’UNESCO et du Burundi (Ubuntu, la tolérance, le genre, la démocratie, la bonne gouvernance, les droits humains, …) et la préparer pour être le gestionnaire politique de demain pour la stabilité nationale et sous régionale, la Commission Nationale du Burundi pour l’UNESCO aimerait étendre les clubs UNESCO dans 1000 écoles et universités pour leur inculquer ces valeurs. C’est dans cette optique que des supports pédagogiques de formation de ces valeurs fondamentales seront conçus et mis à la disposition de ces institutions.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Burundi,,Country,Africa,2024-01-01,2025-12-31,"-3.5, 30.0"
Projet d'appui pour la réintégration des enfants déscolarisés et touchés par les crues des eaux du Fleuve du Congo et la formation des cadres de l'enseignement sur la prévention des risques de catastrophes en milieux scolaires : cas de Mbandaka,"<p style=""text-align: justify;""><span style=""font-family: sans-serif;"">A la suite des crues des eaux du fleuve Congo, notamment à Mbandaka (chef-lieu de la province de l’Equateur) qui ont atteint 6,25 mètres au-dessus du niveau de la mer vers la fin d’année 2023, causant 25 décès, la Commission nationale de RDC a sollicité l&#39;UNESCO et ses partenaires pour une aide d&#39;urgence. Les eaux des crues auraient détruit plus de 300 foyers, 52 écoles, des hôpitaux et des bibliothèques. Les pertes en vies humaines, les infrastructures scolaires, les fournitures, manuels, et autres équipements pédagogiques immergés par les inondations, la fermeture de 52 écoles sinistrées, impactent 6 105 élèves de cette province. </span></p><p><br></p>","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Democratic Republic of the Congo,,Country,Africa,2024-01-01,2025-12-31,"0.0, 25.0"
Protecting Kafue Lechwe and Human Health: Addressing Contamination of Natural Water Sources in the Kafue Flats Biosphere Reserve,"The Kafue Flats Biosphere Reserve faces a critical threat: contaminated water sources endanger the iconic Kafue Lechwe antelope, leading to increased mortality, reduced reproduction, and negative impacts on tourism and local communities. Open defecation and poor sanitation in fishing camps are the root causes. This project aims to address this through a One Health Approach of key stakeholders for awareness raising, planning and capacity building for monitoring water quality using citizen science or other participatory environmental monitoring approaches. This collaborative effort will safeguard the Kafue Lechwe population, improve human health outcomes, and enhance the sustainability of the biosphere reserve.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Zambia,,Country,Africa,2024-01-01,2025-12-31,"-15.0, 30.0"
"6th National Meeting of Schools Associated with UNESCO ""Education for Development: Sustainability at School""","The world today lacks committed people who contribute to the well-being of all and the achievement of sustainable development. This change can be driven by education, as it sensitizes, raises awareness, and shapes behaviours.

The pursuit of sustainable development requires the involvement of school managers, teachers, and families for the materialization of the SDGs and, especially, in the exercise of the right to quality education. It should be noted that Education for Sustainable Development (ESD) is recognized in the SDGs of the UN 2030 Agenda as part of target 4.7 of SDG 4, when it expresses that by 2030: 

ensure that all students acquire the knowledge and skills necessary to promote sustainable development, including but not limited to through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship, and appreciation of cultural diversity and culture&#39;s contribution to sustainable development.&quot; (UNITED NATIONS, 2015).

In Angola, the regulations that govern the Education and Teaching System, within its purposes, guarantee &quot;To train an individual capable of understanding national, regional and international problems in a critical, constructive and innovative way for their active participation in society, (...)&quot;, (LBSEE, 17/16, article no. 4, paragraph c), which demonstrates the social responsibility and commitment that Educational Institutions have with the development of current and future generations.

Under the motto &quot;The future begins with education&quot; and the central theme &quot;Education for sustainable development at school (Target 4.7)&quot;, the 6th National Meeting of Schools Associated with UNESCO will be held from 4 to 5 October, whose general objective is to provide education agents with theoretical assumptions about Education for Sustainable Development.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Angola,,Country,Africa,2024-01-01,2025-12-31,"-12.5, 18.5"
Improving access to quality and inclusive education with gender equali,"The project aims at providing access to quality and inclusive education with gender equality for 150,000 out-of-school children (OOSC) in Iraq focusing on six governorates with high numbers of OOSC. The main purpose of the project is to accelerate the achievement of universal access to primary education; by considerably lowering the number of OOSC and re-integrate them into the formal education system in Iraq. The three interrelated objectives of the project are highly relevant to improving access to quality education for OOSC in Iraq involving the key education stakeholders in a harmonized approach.",Outcome 1 - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,"1.ED1 - Education systems equipped to promote inclusion, address marginalization and advance rights, including in crisis-affected and post-disaster contexts",EDUCATION,Iraq,EDUCATION ABOVE ALL FOUNDATION,Country,"Arab States,Asia and the Pacific",2018-02-28,2024-01-01,"33.0, 44.0"
"A Series of Symposiums on ""Entrepreneurship, innovation and creativity in Jordanian Universities""","A series of symposiums will be held on entrepreneurship, innovation and creativity in Jordanian universities; to educate the youth on the importance of entrepreneurship, innovation and creativity in planning for their future; through highlighting the experiences of Jordanian entrepreneurs in various fields and sectors, and addressing the social and economic challenges facing them and ways to overcome them. On the other hand, local, Arab and international success stories will be presented to inspire and encourage the youth to plan their future. 
The targeted group of this project is university students in four universities distributed in the three regions of Jordan. As this category needs to be educated about popular trends in the labour market and give ideas on how to start their own businesses in light of the high rates of unemployment in various sectors and the difficult economic conditions in the area. These conferences will inspire the youth and enable them to be creative and innovative in building their future careers in a way that suits the local and global markets&#39; needs and achieving sustainable development goals in the long term.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Jordan,,Country,Arab States,2024-01-01,2025-12-31,"31.0, 36.0"
l’Élaboration des documents de référence pour l’accompagnement de la mise en place et de la promotion du plan d’Action de l’Alliance des Commissions nationales et des villes apprenantes africaines,"Le projet concerne l’élaboration de trois documents de travail et de référence pour appuyer et accompagner les membres de l’Alliance, à élaborer un plan d’action et de développement qui répond à leurs besoins et attentes. Les livrables visés sont issus des recommandations des membres réunis le 26 décembre 2023 et concernent :   
•	Un document d’accompagnement en appui à la planification des activités et mécanismes de collaboration et développement.
•	Un guide d’accompagnement des villes candidates au réseau des villes apprenantes africaines, parmi les villes du réseau de l’Alliance.
•	Une brochure de présentation de l’Alliance et de sa promotion.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Morocco,,Country,"Arab States,Africa",2024-01-01,2025-12-31,"32.0, -5.0"
Médiatisation scientifique : Un enjeu pour la Science ouverte et le droit à la Science,"La Science ouverte, telle que définie par l’UNESCO, « est une série de principes et de pratiques visant à rendre la recherche scientifique de tous les domaines accessible à tout le monde, au bénéfice des scientifiques et de la         société tout entière ».Ce projet sur la médiatisation scientifique s’inscrit dans cette démarche et mobilise les scientifiques, les citoyens, les journalistes scientifiques et les « médiateurs » actifs dans la vulgarisation et la diffusion des informations scientifiques. Une série de 10 formations sera proposée visant étudiants universitaires des facultés d’information et des facultés de science afin de devenir des journalistes scientifiques.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Lebanon,,Country,Arab States,2024-01-01,2025-12-31,"33.8333, 35.8333"
Start Them Right,"The experiences children have in early childhood shape the brain and the child’s capacity to learn, get along with others and respond to daily stresses and challenges. Research has shown that readiness for primary school, which includes a child’s behaviour, readiness to learn, social and emotional skills, early literacy, and early numeracy are important skills to include on a school readiness tool as these skills had the most predictive validity for later school success. (Duncan,2007)
Early Intervention services are essential to ensure children&#39;s success. However, making a referral is only the first step. It&#39;s important to recognize that parents may face various obstacles, such as financial constraints, confusion, or discouragement, which may hinder them from following through with the process. Even if a referral is made, not all evaluations lead to services. Nonetheless, every child can benefit from some form of developmental support, and doctors&#39; offices play a critical role in facilitating this. By making referrals and following up on them, we can ensure that children receive the services they need to thrive and reach their full potential. Science has proven how best to support children&#39;s development, but accessibility is key. Making referrals and following up on them is a crucial step toward ensuring that every child has access to these services. The ultimate goal of facilitating this kind of fair is to provide an opportunity for children to access services that can positively change the trajectory of their learning outcomes. The organization of the referral fair is grounded in the concept of that of a Health Fair but specifically designed for children who may have special needs. 
Therefore, The Early Childhood Commission, under the Theme Start Them Right, seeks to partner with child developmental specialists with the hopes of facilitating a diagnostic process. This will cater to the children showing delays in their learning or development. These children&#39;s records will be extracted from the from the ECC’s secondary-level screening tool data, Ages and Stages Questionnaire-Jamaica (ASQ-J). The Ages and Stages Questionnaire Jamaica is a development assessment tool that has been implemented in screening and referral pathways worldwide. It is designed to monitor a child’s developmental progress and identify children with potential developmental delays. It is used to further screen children who have been identified as “at risk” by the Jamaica School Readiness Assessment. Hence, the ASQ-J is a secondary screening tool which is used to pinpoint specific areas of risk so that interventions can be more targeted.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Jamaica,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"18.25, -77.5"
"CHAMP (Child, Home and Mentorship Project)","Jamaica has made significant strides towards attaining the Sustainable Development Goals. In spite of these achievements, the country is still challenged by socio-economic development issues which range weak economic performance, poor student outcomes and high rates of violent crime. The COVID-19 pandemic has significantly impacted the academic performance of male students, introducing challenges such as disruptions to traditional learning environments and increased disparities in access to educational resources. Addressing these effects is crucial for ensuring equitable academic outcomes for male students during these unprecedented times.

The “Project” is a programme of mentorship and guidance, to support boys as they remain in school and work towards academic and professional goals.  The “Project” is designed to encourage Jamaican students, age 13-18 years old, and selected secondary school students to complete their education. The programme presents strategies which have the potential to make a difference to learning, motivation and engagement in schooling, and consequently to raise levels of academic achievement; personal and socio-economic development. 

To this end, the potential exists for the creation of employment and other opportunities to enhance the life chances of youth. This proposal outlines the CHAMP Project that will engage youth from low income households to develop critical thinking skills and offer them opportunities to promote sustainable development in Jamaica.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Jamaica,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"18.25, -77.5"
Tailor-made heat maps for Caribbean Island States - a climate resilience tool for enhanced decision-making,"The proposed project, aligned with UNESCO&#39;s 42C/5 Draft Document and Budget for 2024-2025, seeks funding to implement satellite-based mapping for climate heat maps in Caribbean small island states. By enhancing spatial understanding of heat impact, this initiative aims to empower stakeholders and citizens in developing targeted strategies for climate resilience. Key project outcomes include bolstering evidence-based decision-making through heightened climate data accessibility and fostering public awareness of climate effects amidst rising temperatures for Caribbean small island states. This endeavor aligns with UNESCO&#39;s commitment to sustainable development, providing a tool for mitigation and adaptation concerning the adverse impacts of climate change on vulnerable island communities.","Enabling Outcome 10 - Reinforced partnerships, outreach and advocacy in support of UNESCO’s action","10.PPF1 - Participation Programme management significantly improved allowing greater transparency, timely coordination among sectors and responsiveness, and an increase in the number of projects approved for gender equality and countries in need, particul",PARTICIPAT. PROG. & EMERGENCY FUNDS UNIT,Aruba,,Country,Latin America and the Caribbean,2024-01-01,2025-12-31,"12.5, -69.9667"
